date,site,test_dia_mm,test_hei_mm,wet_mass_g,volume_disp_ml,gonad_index
160706,Otter Point,38,15,21.81,25,3.640531866
160706,Otter Point,38,16,20.33,25,2.754549926
160706,Otter Point,30,15,13.69,20,12.14024836
160706,Otter Point,49,23,47.17,45,4.449862201
160706,Otter Point,34,18,17.39,15,4.583093732
160706,Otter Point,35,16,18.72,10,3.183760684
160705,Coral Street,37,19,21.32,20,7.997185741
160705,Coral Street,33,17,16.16,20,3.824257426
160705,Coral Street,45,22,29.3,25,8.078498294
160705,Coral Street,27,12,9.01,10,14.82796892
160705,Coral Street,35,18,19.57,20,8.170669392
160705,Coral Street,39,19,25.82,20,0.724244771
160705,Coral Street,53,26,55.25,40,4.866968326
160705,Coral Street,31.5,16,14.71,10,7.389530931
160705,Coral Street,35,18,18.34,15,2.966194111
160705,Coral Street,28,14,10.73,10,17.32525629
160705,Coral Street,42,22,35.51,30,2.892143058
160705,Coral Street,41,18,28.54,20,5.136650315
160705,Coral Street,51,26,43.21,35,6.963665818
160705,Coral Street,39,12,24.2,20,7.67768595
160707,Stillwater,46,22,33.93,20,4.880636605
160707,Stillwater,36,20,17.5,10,0.668571429
160707,Stillwater,46,25,32.94,20,4.799635701
160707,Stillwater,37,18,19.79,10,5.512885296
160707,Stillwater,35,20,16.05,10,0.710280374
160707,Stillwater,55,33,59.83,40,4.664883838
160707,Stillwater,39,23,22.69,10,6.518289996
160707,Stillwater,57,29,69.31,50,2.063194344
160707,Stillwater,44,20,30.91,20,5.082497574
160707,Stillwater,41,20,25.64,20,2.815912637
160707,Stillwater,41,24,36.43,30,7.647543234
160707,Stillwater,38,21,20.29,20,3.065549532
160707,Stillwater,43,21,26.21,20,4.586035864
160707,Stillwater,37,22,19.36,10,2.479338843
160707,Stillwater,42,22,25.98,30,2.605850654
160707,Stillwater,35,19,17.65,20,26.34560907
160707,Stillwater,32,19,13.16,10,17.96352584
160707,Stillwater,37,19,18.19,20,4.222100055
160707,Stillwater,37,24,21.84,20,5.503663004
160708,Stillwater,40,22,23.97,20,6.157697121
160709,Stillwater,38,18,20.1,30,3.218905473
160708,Stillwater,43,18,28.87,30,1.724974021
160708,Stillwater,32,14,14.38,10,4.394993046
160708,Stillwater,47,21.5,39.96,35,6.801801802
160708,Stillwater,36,14,18.2,20,3.747252747
160708,Stillwater,32,14,16.44,10,0
160708,Stillwater,17,7,2.51,3,27.09163347
160708,Stillwater,38,16.5,24.36,20,0.139573071
160708,Stillwater,36,16,21.42,20,0.149393091
160708,Stillwater,25,11,7.94,10,0
160708,Stillwater,33,16,17.86,10,0.727883539
160708,Stillwater,37,15,20.83,20,17.39798368
160708,Stillwater,47,20,43.83,30,15.65822496
160708,Stillwater,48,21,45.15,40,7.156146179
160708,Stillwater,48,20,42.92,35,12.71901212
160708,Stillwater,43,17,32.24,20,1.826923077
160708,Stillwater,52.5,20,49.11,40,4.137650173
160708,Stillwater,43,19.5,32.87,30,3.772436873
160708,Stillwater,37.5,18,20.08,15,0.881474104
160708,Stillwater,57.5,25,72.04,60,1.892004442
160708,Stillwater,33,16,16.3,15,3.539877301
160708,Stillwater,56.5,22.5,64.03,40,5.060128065
160708,Stillwater,40,16,26.57,10,3.353406097
160708,Stillwater,39,16,24.81,20,1.40669085
160708,Stillwater,51,23,49.06,40,7.662046474
160708,Stillwater,27,14,10.45,5,1.435406699
160708,Stillwater,46,19,42.09,30,5.704442861
160708,Stillwater,45,19,33.97,40,33.6002355
160708,Stillwater,33,15,24.81,20,17.9846836
160708,Stillwater,46,21,41.38,30,18.25036249
160708,Stillwater,39,16.5,24.38,20,16.4438064
160708,Stillwater,54,24,60.84,50,9.778106509
160708,Stillwater,31,13,14.87,20,5.447209146
160708,Stillwater,61,25,82.26,70,13.92900559
160708,Stillwater,32,15,15.84,10,16.05429293
160714,Coral Street,42.6,24.3,34.74,30,1.450777202
160714,Coral Street,34.1,20.9,18.57,20,14.32417878
160714,Coral Street,41.2,21,28.42,20,7.325826882
160714,Coral Street,38,20,23.29,5,11.84199227
160714,Coral Street,46.7,27.5,46.18,30,2.332178432
160714,Coral Street,34.8,18.3,18.37,20,10.53892216
160714,Coral Street,29.3,16,8.99,5,7.252502781
160714,Coral Street,41.9,28.1,33.39,20,3.255465708
160714,Coral Street,36.2,20.4,20.22,10,4.737883284
160714,Coral Street,51.3,26.7,43.86,20,5.059279526
160714,Coral Street,42.7,25.3,29.66,30,0
160714,Coral Street,54.3,29.2,62.49,40,11.63386142
160714,Coral Street,64.1,37.1,93.66,80,11.45526372
160714,Coral Street,42.3,23,29.99,23,12.52084028
160714,Coral Street,42.4,23.4,29.77,10,13.28854552
160714,Coral Street,39.5,23.5,24.21,20,3.263114416
160714,Coral Street,52,30.3,49.2,30,9.414634146
160714,Coral Street,43.2,23.8,34.18,20,4.569923932
160714,Coral Street,26.1,17.5,8.91,5,20.31425365
160714,Coral Street,52.3,27,45.89,30,3.907169318
160714,Coral Street,60.6,49.5,96.7,80,4.169596691
160714,Coral Street,47.1,25,45.06,30,2.370173103
160714,Coral Street,29.5,16.6,13.84,20,6.423410405
160714,Coral Street,68.5,32.4,100.86,80,5.840769383
160714,Coral Street,40.5,21.5,23.68,5,13.58108108
160725,Hopkins,33.2,17.2,15.1,15,5.284768212
160725,Hopkins,32.8,15,14.36,15,3.530640669
160725,Hopkins,30,14.5,12.79,15,5.215011728
160725,Hopkins,36.7,18,21.52,20,17.84386617
160725,Hopkins,24,11,7.7,5,3.961038961
160725,Hopkins,35.7,19,19.05,20,22.28346457
160725,Hopkins,46.5,23.2,39.4,30,8.299492386
160725,Hopkins,41.5,18.5,29.11,20,3.617313638
160725,Hopkins,43.1,20,34.37,35,14.46319465
160725,Hopkins,46.6,21.9,41.52,35,5.036127168
160725,Hopkins,32.5,17.9,16.27,15,12.00368777
160725,Hopkins,40,22.5,23.76,20,16.18686869
160725,Hopkins,40.05,21.5,27.93,2,15.81095596
160725,Hopkins,52.5,22.5,55.23,50,14.74741988
160725,Hopkins,47,23,41.81,35,23.06625209
160725,Hopkins,42.5,22,29.01,30,10.67562909
160725,Hopkins,55.5,25.8,67.43,60,3.359039003
160725,Hopkins,52.3,28.3,52.3,50,13.7456979
160725,Hopkins,31.5,16,14.81,15,7.17083052
160725,Hopkins,35,16,20.19,20,12.29321446
160725,Hopkins,42.2,17.5,27.89,20,20.97167444
160725,Hopkins,36.9,16.6,19.46,20,7.764645427
160725,Hopkins,38.8,16.5,24.19,20,14.02232327
160725,Hopkins,53,26.5,56.73,50,1956.6367
160725,Hopkins,36.8,20,25.75,20,17.83300971
160725,Hopkins,44,21.7,34.84,30,4.778989667
160725,Hopkins,30.05,14,14.33,10,20.6350314
160725,Hopkins,40,17.3,25.16,20,6.569952305
160725,Hopkins,43,22,31.77,30,13.503305
160725,Hopkins,36,17.5,20.49,15,4.138604197
160725,Hopkins,46.4,23.5,41.18,35,9.703739679
160725,Hopkins,36.5,18.5,19.1,20,6.078534031